,start_time,end_time,trip_duration,start_station_id,start_station_name,end_station_id,end_station_name,usertype,gender,start_lat,start_lng,end_lat,end_lng,rideable_type,start_city,start_landmark,end_city,end_landmark,start_date,end_date,start_dpcapacity,end_dpcapacity,age,st_hour,st_minute,st_second,ed_hour,ed_minute,ed_second,st_year,st_month,st_day,ed_year,ed_month,ed_day
19,18:32:00,18:37:00,308,TA1306000010,Daley Center Plaza,TA1306000010,Daley Center Plaza,1,0,41.884337,-87.630183,41.884337,-87.630183,0,0,23,0,23,27/06/2013,27/06/2013,39,39,42,18,32,0,18,37,0,2013,6,27,2013,6,27
20,18:38:00,19:35:00,3401,TA1306000010,Daley Center Plaza,TA1306000016,Sheffield Ave & Fullerton Ave,1,0,41.884337,-87.630183,41.92560188,-87.65370804,0,0,23,0,60,27/06/2013,27/06/2013,39,25,49,18,38,0,19,35,0,2013,6,27,2013,6,27
21,18:45:00,19:03:00,1094,TA1305000005,Dearborn St & Adams St,76,DuSable Lake Shore Dr & Monroe St,0,-1,41.87935636,-87.62979104,41.88105,-87.61697,0,0,20,0,300,27/06/2013,27/06/2013,15,39,-1,18,45,0,19,3,0,2013,6,27,2013,6,27
22,18:48:00,18:54:00,408,TA1306000010,Daley Center Plaza,TA1305000005,Dearborn St & Adams St,1,0,41.884337,-87.630183,41.87935636,-87.62979104,0,0,23,0,20,27/06/2013,27/06/2013,39,15,26,18,48,0,18,54,0,2013,6,27,2013,6,27
23,18:52:00,20:49:00,7031,TA1305000005,Dearborn St & Adams St,45,Michigan Ave & Ida B Wells Dr,1,1,41.87935636,-87.62979104,41.8760656,-87.62443336,0,0,20,0,40,27/06/2013,27/06/2013,15,14,36,18,52,0,20,49,0,2013,6,27,2013,6,27
24,18:53:00,19:06:00,781,TA1306000010,Daley Center Plaza,75,Canal St & Jackson Blvd,1,0,41.884337,-87.630183,41.87811421,-87.63997112,0,0,23,0,138,27/06/2013,27/06/2013,39,50,50,18,53,0,19,6,0,2013,6,27,2013,6,27
25,18:57:00,18:59:00,122,TA1305000029,State St & Randolph St,TA1305000029,State St & Randolph St,1,0,41.8847302,-87.62773357,41.8847302,-87.62773357,0,0,2,0,2,27/06/2013,27/06/2013,23,23,30,18,57,0,18,59,0,2013,6,27,2013,6,27
26,19:00:00,19:10:00,607,TA1306000010,Daley Center Plaza,TA1307000119,Clarendon Ave & Leland Ave,1,0,41.884337,-87.630183,41.967968,-87.650001,0,0,23,0,385,27/06/2013,27/06/2013,39,14,42,19,0,0,19,10,0,2013,6,27,2013,6,27
27,19:20:00,19:44:00,1424,94,Lincoln Ave & Armitage Ave,94,Lincoln Ave & Armitage Ave,1,1,41.918273,-87.638116,41.918273,-87.638116,0,0,146,0,146,27/06/2013,27/06/2013,19,19,45,19,20,0,19,44,0,2013,6,27,2013,6,27
28,19:23:00,19:44:00,1280,TA1305000014,Clark St & Wrightwood Ave,94,Lincoln Ave & Armitage Ave,1,0,41.929546,-87.643118,41.918273,-87.638116,0,0,209,0,146,27/06/2013,27/06/2013,15,19,49,19,23,0,19,44,0,2013,6,27,2013,6,27
29,19:29:00,19:37:00,493,76,DuSable Lake Shore Dr & Monroe St,90,Millennium Park,1,0,41.88105,-87.61697,41.8810317,-87.62408432,0,0,300,0,8,27/06/2013,27/06/2013,39,45,39,19,29,0,19,37,0,2013,6,27,2013,6,27
30,19:29:00,19:38:00,495,76,DuSable Lake Shore Dr & Monroe St,90,Millennium Park,1,1,41.88105,-87.61697,41.8810317,-87.62408432,0,0,300,0,8,27/06/2013,27/06/2013,39,45,66,19,29,0,19,38,0,2013,6,27,2013,6,27
31,19:29:00,19:38:00,506,76,DuSable Lake Shore Dr & Monroe St,90,Millennium Park,1,0,41.88105,-87.61697,41.8810317,-87.62408432,0,0,300,0,8,27/06/2013,27/06/2013,39,45,68,19,29,0,19,38,0,2013,6,27,2013,6,27
